tag,content
exam,final exam scores have been released and regrade requests are open please take a look at the solutions before submitting a regrade request solutions have been posted on the google drive you have until sunday at 100 pm to submit a regrade request requests submitted after this time will not be processed exam statistics can be found in the grade statistics thread in 7
exam,this message contains details for the eecs 280 midterm 0 coverage the final exam is cumulative with a focus on material from lectures 11 and on labs 06 and on projects 3 4 and 5 1 time and location time thursday june 23nd from 800am michigan time to 1000am 110 min location by uniqname below please go to your assigned room if we discover that you took your midterm in a room that you are not assigned to we will automatically give you a zero on your midterm room start end eecs 1200 aberatne henryrm eecs 1311 hiekim maxqi eecs 1303 mengyliu ziweiw 2 exam policies the exam will be closed book and closed notes except for one sheet of 85 x 11 paper handwritten with anything you’d like written on it both sides do not bring a blue book no calculators will be necessary thus no electronics of any kind are permitted the exam will be given under the engineering honor code 3 study materials there are 3 previous midterms you may use as practice exams solutions to these midterms have been published and are available on the google drive if you have any questions please stop by at office hours or attend the final exam review on tuesday june 21 from 500 900 pm in bbb 1670 we also encourage you to discuss material with friends or on piazza forums 4 alternate and extended time exams emails for students taking alternate and extended time exams have already been sent out if you feel you should have received said email but have not please email us eecs280examsumichedu asap happy studying north campus map httpscampusinfoumichedufilescampusinfonorthcampusmappdf eecs 280 staff pin
image,if youve got your resize program working feel free to share the results with some images of your own pin
exam,please do not discuss the exam until 400 today thank you
exam,how is this 3 3 why is it not 2 1
calculator,is there anyway we can see the tests that the autograder ran on our old projects
exam,instead of using first could i instead write first null on the exam
exam,for example in w15 problem 4d when we create base baseptr der does this make an instance of base with value 5
exam,im very confused by this question solution it was my understanding that we were to take the current list of a collector and modify the list so that there were no duplicates but the solution shows us making a whole new instance of a collector c and using a list from a different collector im just really confused could someone please clarify the solution
exam,in the context of the problem below why do we have to go with option 1 to deallocate the array vs option 2 when would we want to use option 2 option 1 for int i 0 i numparts i delete partsi option 2 delete parts
exam,if simpleplayer is a derived type of base class player and i have code player p new simpleplayer is a player object allocated space in the heap just like a simpleplayer object is also how are both the objects destroyed when we say delete p
exam,i dont see how the solution here would evaluate an item in the list that is equal to the item we are comparing the comparator provided only evaluates true is the item is greater than the compared value not grater than or equal to so in the example provided this solution would not return 4 because 4 is not greater than 4 so it would return 5 am i missing something
exam,june 20th was yesterday is the exam review today 21st or tomorrow 22nd
exam,i have a few questions about problem 5 1 for part a why is number exception caught printed is it because rangeex is derived from numex class and so the numex catch block catches any child class exceptions 2 for part b does the code terminate because there is no catch block for inputex if so can a also be a correct catch block and location for part c if not why would c be the correct choice thanks problem 5 solutions eecs280w15finalsolutionsannotated2pdf
recursion,what does numitems indicate are we supposed to interpret that if for example numitems 8 we should be going through items 0 7 in our arrays
recursion,on the autograder there are a bunch of boundary tests could someone quickly clarify that
recursion,could someone explain to me what the identity parameter does in correspondence with fn i dont completely understand the specs
recursion,i may have missed this somewhere in the specs but would we expect to have negative numbers in our liststrees
recursion,should we include rmes for every one of our helper functions in p2cpp and for any function pointers we made to test filteraccumulate in p2testscpp
exam,will the final review on 621 be recorded i have a conflict but would still like to see the material reviewed
recursion,for my maxvalue test cases some runs it turns out correct while other runs it doesnt i print out the result every time i run it and i found out that sometimes it doesnt cover the last element in the item list while other times it does any ideas as to why this would be the case it seems to only be a problem for the last item in the item list
recursion,i test my maxvalue function on labster and it worked well but the autograder told me it exceeded the time limit anyone know how to fix it
recursion,the rme for this function does not mention what to do if both lists first and second are empty lists should it just return an empty list or a list of two empty lists or would this be the same thing
recursion,can we write a tree recursive helper function for numpartitions that essentially takes in the same input as numpartitions but also an additional input variable for keeping track of the largest integer so far basically can we use helper functions that have recursion in them even if the function is not tail recursive for example int recursionint n return recursionhelpern n static int recursionhelperint n int high do tree recursion and return int would something like this be ok for the numpartitions function
recursion,can we write a helper function to calculate the max between two integers and use that in our recursion
recursion,on labster its saying that my treecontains function isnt tail recursive because it calls the traversal function but then my helper function which gets called by treecontains is tail recursive does this mean my treecontains function is tail recursive or not
recursion,do we have to consider functions for accumulate for which order of operations matters ie if textttfn pointed to an textttint divide function i seem to have trouble getting the same output for the nontail recursive implementation given in the spec and my tailrecursive version for these types of functions since they seem to start at opposite ends of the list
recursion,if we are not allowed to modify the values array its const nor are we allowed to create new arrays how else are we supposed to keep track of which items that have already been included such that we do not include them again in the knapsack thanks
exam,when is the alternative final exam
recursion,can anyone explain what the accumulate function is supposed to do i dont really understand what is meant by return the tail recursive equivalent of fnlistfirstlist accumulatelistrestlist fn identity is there a parenthesis missing thanks
recursion,it says in the project spec that we cant use anything other than tail recursion to implement the functions in p2h but will there be a problem with the autograder if we use iterative helper functions to test our code what about including libraries such as vector also in p2testcpp
calculator,anyone want to do the code review after lecture tomorrow
recursion,are we calling our project five file p2cpp or p5cpp i realize its is a typo but i dont know if the name of your h file has to match the name of our cpp file
recursion,do tree functions in p5 also have to be tail recursive or just general recursive
exam,on the final will we be allowed to have one sheet with notes like we had for the midterm
calculator,when i run this in xcode i get the correct output however this is what i get in terminal any help would be great
calculator,when i run calc01 test on my computer and sdiff it there is no difference with the correct output but the autograder said i did not pass the test what might be the problem and i pass the test of calc00 on autograder
calculator,when i manually input the arguments into the terminal my calccpp seems to work correctly and print the right things to the terminal but when i use io redirection with calc calctest00in calctest00out nothing appears in the calctest00out file i cant figure out why nothing is being printed in the calctest00out file
calculator,im passing the stack public test in xcode as well as the other visibly graded autograder tests but i dont pass on caen running with valgrind produces this output i have been trying to change things and look into why this is happening for the past two days but havent been able to figure it out if anyone has advice of what to look for when trying to fix this i would really appreciate it it seems as though im trying to access an invalid next node but i dont understand why the problem wouldnt appear in xcode
calculator,should we have a node destructor my popfront and popback arent deleting the nodes that are being pointed at
calculator,it says the output is different for lines 2 5 i am printing a space after each element in the stack as well as a newline at the end of the stack is there any better way to get more information about whats going wrong
