tag,content
instructor,project lab and exam grades are posted on ctools pin
instructor,project 2 students submitting 557 students wperf score 51 average score 12327 total points 142 pin
instructor,the resources found here cover many of the essentials for this course httpsdrivegooglecomaumichedufolderviewid0b49xemrteracezbrmjnqzb3ymcuspsharing some of the documents are still partially under construction
instructor,a quick message from vidal james p james j we wish you good luck on the exam everyone and remember dont ragequit ps grading these exams is going to be tedious soooo if you happen to finish early and checked over your answers three times consider doing one of the following to entertain us while we grade a sketch your favorite meme b write down a good joke preferably nothing too dirty but whatever c draw an eecs 280 staffer in anime
instructor,hi class if you stuck around until the veeeery end of the allnighter review session you might remember there was talk of creating a single exampleproblem that incorporated all the concepts from the exam it has taken me a lot longer than i first expected to get it all put together but it is coming sooncheck back here in an hour or two i will also post a sample solution in the meantime heres the theme of the problem httpenwikipediaorgwikisevenlayerdip james
instructor,ask questions here and well answer them or bring them up to talk about as a group feel free to ask anonymously if you prefer
instructor,ask questions here and well answer them or bring them up to talk about as a group feel free to ask anonymously if you prefer
instructor,ask questions here and well answer them or bring them up to talk about as a group feel free to ask anonymously if you prefer
instructor,
instructor,im hanging out in bbb 1695 if youre around and have 280 questions feel free to drop by james
instructor,a graduate student is looking for volunteers to participate in a research effort that is attempting to improve on android security if you are interested here is the link to a form to express your interest in participation httpgooglp008sw the phd student who is conducting the study is earlence fernandes earlenceumichedu and his office is in the cse division the study has an irb approval from the university of michigan he will do a raffle at the end of study the winner gets 50 amazon gift card if you dont win even then you will probably learn a little bit about potential security issues on android and smartphones and benefit a phd students research work from what i am told you will need to spend around 20 minutes of time using the students android device the study is somewhat like a little game in that you have to try to guess correctly as to when you are interacting with a genuine program and when you are interacting with a malicious program feel free to contact earlence with more questions or simply enter your information in the form and he will contact you if you are selected any personal information you provide is destroyed at the end of the study as per the irb rules prof prakash
instructor,weve modified the schedule a bit for the last few lectures mon 14 apr extra help and practice problems wed 16 apr extra help and practice problems ringenberg lecture canceled mon 21 apr final exam review pin
instructor,in the cse department we take our course evaluations very seriously and we want to encourage everyone to participate we would like to extend an opportunity for extra credit equivalent to one lab assignment for those who submit a course evaluation evaluations remain anonymous and we will only know that you submitted so we can give you credit to receive extra credit equivalent to one lab assignment complete your course evaluation for eecs 280 and forward the registrars email acknowledgement to eecsevalsumichedu pin
instructor,we clarified in the specs that rational0 0 results in 00 there was a bit of ambiguity in the original specs the change in the project5pdf from the original version is highlighted in yellow and q is nonzero this is a new project do let us know if you see any specs errors or ambiguities pin
instructor,the specs for project 5 have been released get started early unlike other projects it is due on a tuesday apr 22nd the assignment requires you to implement three classes a doublylinked list stack and a rational number class in addition you have to implement a postfix calculator for rational numbers you will be making use of many of the concepts we talked about in recent lectures including classes friends operator overloading function pointersfunctors the big three dynamic memory etc if you have never encountered a postfix calculator before and want to ask us questions about it please stop by in office hours we can show you some online calculators here are a few that i am aware of an online javascriptbased calculator httpwwwueaacukdpscalculatorhtml mac oss builtin calculator search for calculator in spotlight after you launch the calculator select view rpn mode a picture of it is attached in action after i entered two numbers 3 and 5 if i were to hit the sign at that point the two numbers would be added and then 8 put on the stack use this calculators to understand rpn mode but unlike these calculators your calculator will be textbased entirely and use rational number arithmetic happy coding
instructor,disclaimer its not actually a party its just extra office hours
instructor,dear students since so few of you have attended our recent office hours that must mean you are all finished with project 4 therefore we the staff have decided to cancel all office hours up until the project 4 deadline sincerely eecs 280 staff
instructor,as was pointed out by a student and discussed with staff we are allowing test case collaboration for project 3 there are currently a few different posts on piazza related to this topic while this provides great feedback to you and confirmation with regards to correctness i strongly encourage you to perform your own testing first and convince yourself of the results before comparing with others in the working world testing is a crucial part of any project and the stakes are much higher generally speaking it is strongly advised to spend as much time on testing as was spent on coding and some companies even have dedicated teams just for testing and test automation purposes testing is a crucial skill to have and admittedly quite hard to master but with practice you should all be able to also a friendly reminder this policy does not apply for project 4 as test cases are a deliverable for that project and such collaboration would lead to a violation of the honor code
instructor,several students have been having issues where their code seems to work fine when testing locally but doesnt pass the tests when submitted to the autograder in the project spec we suggest using something like this to test your code euchre packin noshuffle 1 alice bob cathy drew euchretest00out diff ­q euchretest00out euchretest00outcorrect these should be run as two separate commands it wont work if you type it out all on one line it wont find any differences and your code will appear to be producing correct output when its not of course you should also make sure youre testing on caen linux and are using a fresh copy of the sample correct outputs in case you accidentally modified them
instructor,heres a mapping from the internal identifiers to a longer name this would have been included in your original email but i wanted to get grades out asap cardtest published card unit tests checkpoint cardtest00 published card unit tests final packtest published pack unit tests checkpoint packtest00 published pack unit tests final playertest published player unit tests checkpoint playertest00 published player unit tests final cardtest01 cardinit cardtest02 cardcompare with trump cardtest03 cardcompare with trump and led suit packtest01 packinit packtest02 packdealone packtest03 packreset packtest04 packshuffle playertest01 playerinit playertest02 playeraddcard playertest03 playermaketrump playertest04 playeraddanddiscard playertest05 playerleadcard playertest06 playerplaycard euchretest00 published short test euchretest01 published medium test euchretest04 long test no shuffling euchretest05 long test euchretest20 thosrough test noshuffle round 1 euchred euchretest21 thorough test noshuffle round 12 march euchretest22 thorough test noshuffle round 1 single point left bower euchretest23 thorough test noshuffle round 12 euchred left bower euchretest24 thorough test noshuffle round 1 single point left bower euchretestargs command line arguments pin
instructor,the specs for project 4 were released on thursday get started
instructor,hi my car is stuck in snow and wont budge ill be a few minutes late to discussion please start working on the lab ill be there as soon as i can pooja
instructor,i talked about an intset factory in the 500 pm lecture yesterday march 12th for those of you following my lecture attached is the code for the functions to help create an intset object and for destroying the object this helps completely the implementation of intset from maincpp note that maincpp only needs to include the two factory functions signature defined as part of intsetfactoryh and the pure abstract ie interface class intsetcpp the code on slide 15 of lecture 16 notes is somewhat simplified it does not completely hide the intsetunsorted class from maincpp since the header file is included by using factory functions it is possible to completely hide the implementation from maincpp the makefile includes the command to compile the code the factory code does require the use of newdelete two operations for creating and destroying objects dynamically we will talk more about them in coming weeks prakashlecture16codezip
instructor,it may be helpful to have a general idea of c operators and their precedence i am not sure if it is on the tomorrows exam but there are problems on the past exams that depended on it here are some rules 1 and post eg x where x is a pointer it could mean either x or x c gives higher precedence to the operator thus it means x this is explicitly in lecture 7 on slides 3538 so you should know that int p10 int x p now what does x do this means x is dereferenced x ie p0 is the value of the expression then x the pointer is incremented a subsequent x would give you p1 here are a few others that could be confusing 2 ab in the above there are two possible meanings ab or ab in c it is the former 3 ab means ab 4 ab means ab 5 ab means ab in your own code i suggest using parenthesis to avoid confusion but if you see something like this on an exam you now know what it means a full table is given below httpencppreferencecomwcpplanguageoperatorprecedence in the above a is frequently used in the lectures and in the labs so it is a good idea to know that in case a problem shows up with that notation pin
instructor,for those of you who havent left town yet i will still be holding my friday office hours feb 28th if youre around i highly recommend that you that you use this opportunity to get your project into a good position going into spring break vidal
instructor,midterm exam scores are posted on ctools the stats are below awd n 555 min 9 1q 48 mean 62 median 64 stdev 20 3q 78 max 99 pin
